reason_id,source_work_id,target_work_id,reason_kind,entity_id,relation_id,transition_id,event_id,event_occurrence_id,source_continuity_id,destination_continuity_id,participant_fact_ids,support_fact_ids,appearance_kinds,verification_statuses,certainty_values,notes
reason-spider-man-homecoming-2017-avengers-endgame-2019-shared-entity-entity-x-5a2ee964f0,spider-man-homecoming-2017,avengers-endgame-2019,shared_entity,entity-x-5a2ee964f0,,,,,,,,appearance-avengers-endgame-2019-entity-x-5a2ee964f0|appearance-spider-man-homecoming-2017-entity-x-5a2ee964f0,unknown,legacy_seed,unknown,
reason-spider-man-homecoming-2017-avengers-infinity-war-2018-explicit-relation-work-relation-spider-man-homecoming-2017-avengers-infinity-war-2018-crossover,spider-man-homecoming-2017,avengers-infinity-war-2018,explicit_relation,,work-relation-spider-man-homecoming-2017-avengers-infinity-war-2018-crossover,,,,,,,work-relation-spider-man-homecoming-2017-avengers-infinity-war-2018-crossover,,legacy_seed,probable,crossover; crossover; indirect
reason-spider-man-homecoming-2017-avengers-infinity-war-2018-shared-entity-entity-mcu,spider-man-homecoming-2017,avengers-infinity-war-2018,shared_entity,entity-mcu,,,,,,,,appearance-avengers-infinity-war-2018-entity-mcu|appearance-spider-man-homecoming-2017-entity-mcu,unknown,legacy_seed,unknown,
reason-spider-man-homecoming-2017-avengers-infinity-war-2018-shared-entity-entity-x-5a2ee964f0,spider-man-homecoming-2017,avengers-infinity-war-2018,shared_entity,entity-x-5a2ee964f0,,,,,,,,appearance-avengers-infinity-war-2018-entity-x-5a2ee964f0|appearance-spider-man-homecoming-2017-entity-x-5a2ee964f0,unknown,legacy_seed,unknown,
reason-spider-man-homecoming-2017-morbius-2022-multiverse-transition-event-morbius-adrian-toomes-ssu-arrival-event-occurrence-morbius-adrian-toomes-ssu-arrival,spider-man-homecoming-2017,morbius-2022,multiverse_transition,,,event-morbius-adrian-toomes-ssu-arrival,event-morbius-adrian-toomes-ssu-arrival,event-occurrence-morbius-adrian-toomes-ssu-arrival,continuity-earth-616,continuity-ssu,transition-participant-morbius-adrian-toomes,appearance-spider-man-homecoming-2017-entity-adrian-toomes-vulture|event-morbius-adrian-toomes-ssu-arrival|event-occurrence-morbius-adrian-toomes-ssu-arrival|transition-participant-morbius-adrian-toomes,onscreen,source_verified,confirmed,unknown; source=continuity-earth-616; destination=continuity-ssu; occurrence=event-occurrence-morbius-adrian-toomes-ssu-arrival; Morbius depicts Adrian Toomes after the cross-universe transfer in its credit sequence; No Way Home is retained separately as the causal work rather than mislabeled as the depiction work.
reason-spider-man-homecoming-2017-morbius-2022-shared-entity-entity-adrian-toomes-vulture,spider-man-homecoming-2017,morbius-2022,shared_entity,entity-adrian-toomes-vulture,,,,,,,,appearance-morbius-2022-entity-adrian-toomes-vulture|appearance-spider-man-homecoming-2017-entity-adrian-toomes-vulture,onscreen|post_credit,source_verified,confirmed,
reason-spider-man-homecoming-2017-spider-man-brand-new-day-2026-07-31-shared-entity-entity-mcu,spider-man-homecoming-2017,spider-man-brand-new-day-2026-07-31,shared_entity,entity-mcu,,,,,,,,appearance-spider-man-brand-new-day-2026-07-31-entity-mcu|appearance-spider-man-homecoming-2017-entity-mcu,unknown,legacy_seed,unknown,
reason-spider-man-homecoming-2017-spider-man-far-from-home-2019-explicit-relation-work-relation-spider-man-homecoming-2017-spider-man-far-from-home-2019-sequel,spider-man-homecoming-2017,spider-man-far-from-home-2019,explicit_relation,,work-relation-spider-man-homecoming-2017-spider-man-far-from-home-2019-sequel,,,,,,,work-relation-spider-man-homecoming-2017-spider-man-far-from-home-2019-sequel,,source_verified,confirmed,sequel; story; direct
reason-spider-man-homecoming-2017-spider-man-far-from-home-2019-shared-entity-entity-mcu,spider-man-homecoming-2017,spider-man-far-from-home-2019,shared_entity,entity-mcu,,,,,,,,appearance-spider-man-far-from-home-2019-entity-mcu|appearance-spider-man-homecoming-2017-entity-mcu,unknown,legacy_seed,unknown,
reason-spider-man-homecoming-2017-spider-man-no-way-home-2021-shared-entity-entity-mcu,spider-man-homecoming-2017,spider-man-no-way-home-2021,shared_entity,entity-mcu,,,,,,,,appearance-spider-man-homecoming-2017-entity-mcu|appearance-spider-man-no-way-home-2021-entity-mcu,unknown,legacy_seed,unknown,
