edge_id,source_work_id,target_work_id,reason_ids,reason_count
edge-avengers-infinity-war-2018-loki-s1-2021,avengers-infinity-war-2018,loki-s1-2021,reason-avengers-infinity-war-2018-loki-s1-2021-shared-entity-entity-x-55e230260e,1
edge-avengers-infinity-war-2018-loki-s2-2023,avengers-infinity-war-2018,loki-s2-2023,reason-avengers-infinity-war-2018-loki-s2-2023-shared-entity-entity-x-55e230260e,1
edge-avengers-infinity-war-2018-she-hulk-attorney-at-law-2022,avengers-infinity-war-2018,she-hulk-attorney-at-law-2022,reason-avengers-infinity-war-2018-she-hulk-attorney-at-law-2022-shared-entity-entity-x-50a34df778,1
edge-avengers-infinity-war-2018-spider-man-brand-new-day-2026-07-31,avengers-infinity-war-2018,spider-man-brand-new-day-2026-07-31,reason-avengers-infinity-war-2018-spider-man-brand-new-day-2026-07-31-shared-entity-entity-mcu,1
edge-avengers-infinity-war-2018-spider-man-far-from-home-2019,avengers-infinity-war-2018,spider-man-far-from-home-2019,reason-avengers-infinity-war-2018-spider-man-far-from-home-2019-shared-entity-entity-mcu,1
edge-avengers-infinity-war-2018-spider-man-no-way-home-2021,avengers-infinity-war-2018,spider-man-no-way-home-2021,reason-avengers-infinity-war-2018-spider-man-no-way-home-2021-shared-entity-entity-mcu|reason-avengers-infinity-war-2018-spider-man-no-way-home-2021-shared-entity-entity-x-c8ead423cc,2
edge-avengers-infinity-war-2018-the-falcon-and-the-winter-soldier-2021,avengers-infinity-war-2018,the-falcon-and-the-winter-soldier-2021,reason-avengers-infinity-war-2018-the-falcon-and-the-winter-soldier-2021-shared-entity-entity-x-bd73e23ab5|reason-avengers-infinity-war-2018-the-falcon-and-the-winter-soldier-2021-shared-entity-entity-x-fd344cdc17,2
edge-avengers-infinity-war-2018-thor-love-and-thunder-2022,avengers-infinity-war-2018,thor-love-and-thunder-2022,reason-avengers-infinity-war-2018-thor-love-and-thunder-2022-shared-entity-entity-x-7250204b23,1
edge-avengers-infinity-war-2018-thunderbolts-new-avengers-2025,avengers-infinity-war-2018,thunderbolts-new-avengers-2025,reason-avengers-infinity-war-2018-thunderbolts-new-avengers-2025-shared-entity-entity-x-bd73e23ab5,1
edge-avengers-infinity-war-2018-visionquest-2026-10-14,avengers-infinity-war-2018,visionquest-2026-10-14,reason-avengers-infinity-war-2018-visionquest-2026-10-14-shared-entity-entity-x-5d8d873f91,1
edge-avengers-infinity-war-2018-wandavision-2021,avengers-infinity-war-2018,wandavision-2021,reason-avengers-infinity-war-2018-wandavision-2021-explicit-relation-work-relation-avengers-infinity-war-2018-wandavision-2021-story-link|reason-avengers-infinity-war-2018-wandavision-2021-shared-entity-entity-x-42251c0735|reason-avengers-infinity-war-2018-wandavision-2021-shared-entity-entity-x-5d8d873f91,3
edge-black-panther-2018-avengers-endgame-2019,black-panther-2018,avengers-endgame-2019,reason-black-panther-2018-avengers-endgame-2019-shared-entity-entity-x-6f5fa7e694,1
edge-black-panther-2018-avengers-infinity-war-2018,black-panther-2018,avengers-infinity-war-2018,reason-black-panther-2018-avengers-infinity-war-2018-explicit-relation-work-relation-black-panther-2018-avengers-infinity-war-2018-crossover|reason-black-panther-2018-avengers-infinity-war-2018-shared-entity-entity-x-6f5fa7e694,2
edge-black-panther-2018-black-panther-wakanda-forever-2022,black-panther-2018,black-panther-wakanda-forever-2022,reason-black-panther-2018-black-panther-wakanda-forever-2022-explicit-relation-work-relation-black-panther-2018-black-panther-wakanda-forever-2022-sequel|reason-black-panther-2018-black-panther-wakanda-forever-2022-shared-entity-entity-x-6f5fa7e694,2
edge-black-panther-2018-eyes-of-wakanda-2025,black-panther-2018,eyes-of-wakanda-2025,reason-black-panther-2018-eyes-of-wakanda-2025-explicit-relation-work-relation-black-panther-2018-eyes-of-wakanda-2025-world-lore,1
edge-black-panther-wakanda-forever-2022-ironheart-2025,black-panther-wakanda-forever-2022,ironheart-2025,reason-black-panther-wakanda-forever-2022-ironheart-2025-explicit-relation-work-relation-black-panther-wakanda-forever-2022-ironheart-2025-spinoff|reason-black-panther-wakanda-forever-2022-ironheart-2025-shared-entity-entity-x-f8ae7d551d,2
edge-black-widow-2021-hawkeye-2021,black-widow-2021,hawkeye-2021,reason-black-widow-2021-hawkeye-2021-shared-entity-entity-x-3cfb930336,1
edge-black-widow-2021-thunderbolts-new-avengers-2025,black-widow-2021,thunderbolts-new-avengers-2025,reason-black-widow-2021-thunderbolts-new-avengers-2025-shared-entity-entity-x-3cfb930336,1
edge-blade-1998-1998-blade-ii-2002,blade-1998-1998,blade-ii-2002,reason-blade-1998-1998-blade-ii-2002-explicit-relation-work-relation-blade-1998-1998-blade-ii-2002-sequel,1
edge-blade-ii-2002-blade-trinity-2004,blade-ii-2002,blade-trinity-2004,reason-blade-ii-2002-blade-trinity-2004-explicit-relation-work-relation-blade-ii-2002-blade-trinity-2004-sequel,1
edge-blade-trinity-2004-deadpool-wolverine-2024,blade-trinity-2004,deadpool-wolverine-2024,reason-blade-trinity-2004-deadpool-wolverine-2024-explicit-relation-work-relation-blade-trinity-2004-deadpool-wolverine-2024-crossover,1
edge-captain-america-brave-new-world-2025-avengers-doomsday-2026-12-18,captain-america-brave-new-world-2025,avengers-doomsday-2026-12-18,reason-captain-america-brave-new-world-2025-avengers-doomsday-2026-12-18-explicit-relation-work-relation-captain-america-brave-new-world-2025-avengers-doomsday-2026-12-18-promotion,1
edge-captain-america-civil-war-2016-agents-of-s-h-i-e-l-d-20132020,captain-america-civil-war-2016,agents-of-s-h-i-e-l-d-20132020,reason-captain-america-civil-war-2016-agents-of-s-h-i-e-l-d-20132020-explicit-relation-work-relation-captain-america-civil-war-2016-agents-of-s-h-i-e-l-d-20132020-world-lore,1
edge-captain-america-civil-war-2016-ant-man-and-the-wasp-2018,captain-america-civil-war-2016,ant-man-and-the-wasp-2018,reason-captain-america-civil-war-2016-ant-man-and-the-wasp-2018-explicit-relation-work-relation-captain-america-civil-war-2016-ant-man-and-the-wasp-2018-aftermath,1
